message_id,step,model,prompt_tokens,completion_tokens,cost_usd
1,1-classify,race-car,74,7,0.00032700000000000003
1,2-extract,race-car,57,19,0.000456
1,3-draft,race-car,92,116,0.002016
1,4-check,race-car,158,5,0.000549
2,1-classify,race-car,73,7,0.000324
2,2-extract,race-car,56,16,0.00040800000000000005
2,3-draft,race-car,88,121,0.002079
2,4-check,race-car,162,5,0.000561
3,1-classify,race-car,77,7,0.00033600000000000004
3,2-extract,race-car,60,20,0.00048000000000000007
3,3-draft,race-car,96,107,0.0018930000000000002
3,4-check,race-car,152,5,0.000531
4,1-classify,race-car,78,7,0.000339
4,2-extract,race-car,61,16,0.000423
4,3-draft,race-car,93,129,0.0022140000000000003
4,4-check,race-car,175,78,0.001695
5,1-classify,race-car,71,7,0.00031800000000000003
5,2-extract,race-car,54,17,0.00041700000000000005
5,3-draft,race-car,87,115,0.001986
5,4-check,race-car,154,5,0.000537
6,1-classify,race-car,76,7,0.000333
6,2-extract,race-car,59,19,0.00046199999999999995
6,3-draft,race-car,94,112,0.001962
6,4-check,race-car,156,5,0.000543
7,1-classify,race-car,73,7,0.000324
7,2-extract,race-car,56,19,0.000453
7,3-draft,race-car,91,122,0.002103
7,4-check,race-car,163,50,0.001239
8,1-classify,race-car,74,7,0.00032700000000000003
8,2-extract,race-car,57,21,0.000486
8,3-draft,race-car,94,115,0.002007
8,4-check,race-car,157,5,0.000546
9,1-classify,race-car,78,7,0.000339
9,2-extract,race-car,61,16,0.000423
9,3-draft,race-car,93,109,0.001914
9,4-check,race-car,155,5,0.00054
10,1-classify,race-car,78,7,0.000339
10,2-extract,race-car,61,19,0.000468
10,3-draft,race-car,96,104,0.001848
10,4-check,race-car,150,5,0.000525
11,1-classify,race-car,82,7,0.000351
11,2-extract,race-car,65,16,0.000435
11,3-draft,race-car,97,98,0.001761
11,4-check,race-car,148,5,0.000519
12,1-classify,race-car,79,7,0.000342
12,2-extract,race-car,62,16,0.000426
12,3-draft,race-car,94,107,0.0018870000000000002
12,4-check,race-car,154,5,0.000537
13,1-classify,race-car,76,7,0.000333
13,2-extract,race-car,59,16,0.000417
13,3-draft,race-car,91,108,0.0018930000000000002
13,4-check,race-car,152,5,0.000531
14,1-classify,race-car,78,7,0.000339
14,2-extract,race-car,61,16,0.000423
14,3-draft,race-car,93,108,0.001899
14,4-check,race-car,154,5,0.000537
15,1-classify,race-car,79,7,0.000342
15,2-extract,race-car,62,16,0.000426
15,3-draft,race-car,94,115,0.002007
15,4-check,race-car,162,5,0.000561
16,1-classify,race-car,83,7,0.000354
16,2-extract,race-car,66,16,0.000438
16,3-draft,race-car,98,119,0.002079
16,4-check,race-car,170,60,0.00141
17,1-classify,race-car,84,7,0.000357
17,2-extract,race-car,67,20,0.000501
