message_id,step,model,prompt_tokens,completion_tokens,cost_usd
1,1-classify,fast-car,74,7,0.00010899999999999999
1,2-extract,fast-car,57,20,0.000157
1,3-draft,fast-car,101,83,0.0005160000000000001
1,4-check,fast-car,125,5,0.00015000000000000001
2,1-classify,fast-car,73,7,0.000108
2,2-extract,fast-car,56,17,0.000141
2,3-draft,fast-car,97,68,0.000437
2,4-check,fast-car,109,5,0.000134
3,1-classify,fast-car,77,7,0.00011200000000000001
3,2-extract,fast-car,60,12,0.00012
3,3-draft,fast-car,96,90,0.000546
3,4-check,fast-car,135,63,0.00045
4,1-classify,fast-car,78,7,0.00011300000000000001
4,2-extract,race-car,61,16,0.000423
4,3-draft,race-car,101,310,0.004953000000000001
4,4-check,race-car,356,37,0.0016229999999999999
5,1-classify,fast-car,71,7,0.000106
5,2-extract,fast-car,54,16,0.000134
5,3-draft,fast-car,94,79,0.000489
5,4-check,fast-car,118,5,0.000143
6,1-classify,fast-car,76,7,0.00011099999999999999
6,2-extract,fast-car,59,19,0.000154
6,3-draft,fast-car,102,80,0.0005020000000000001
6,4-check,fast-car,124,5,0.00014900000000000002
7,1-classify,fast-car,73,7,0.000108
7,2-extract,race-car,56,19,0.000453
7,3-draft,race-car,99,290,0.004647
7,4-check,race-car,331,5,0.001068
8,1-classify,fast-car,74,7,0.00010899999999999999
8,2-extract,fast-car,57,21,0.000162
8,3-draft,fast-car,102,84,0.000522
8,4-check,fast-car,126,5,0.000151
9,1-classify,fast-car,78,7,0.00011300000000000001
9,2-extract,fast-car,61,16,0.000141
9,3-draft,fast-car,101,65,0.00042600000000000005
9,4-check,fast-car,111,5,0.000136
10,1-classify,fast-car,78,7,0.00011300000000000001
10,2-extract,fast-car,61,20,0.000161
10,3-draft,fast-car,105,74,0.00047500000000000005
10,4-check,fast-car,120,5,0.000145
11,1-classify,fast-car,82,7,0.000117
11,2-extract,fast-car,65,16,0.000145
11,3-draft,fast-car,105,77,0.00049
11,4-check,fast-car,127,5,0.000152
12,1-classify,fast-car,79,7,0.000114
12,2-extract,fast-car,62,17,0.000147
12,3-draft,fast-car,103,66,0.00043300000000000006
12,4-check,fast-car,113,58,0.000403
13,1-classify,fast-car,76,7,0.00011099999999999999
13,2-extract,fast-car,59,16,0.00013900000000000002
13,3-draft,fast-car,99,64,0.000419
13,4-check,fast-car,108,5,0.000133
14,1-classify,fast-car,78,7,0.00011300000000000001
14,2-extract,fast-car,61,17,0.000146
14,3-draft,fast-car,102,83,0.0005170000000000001
14,4-check,fast-car,129,5,0.000154
15,1-classify,fast-car,79,7,0.000114
15,2-extract,fast-car,62,16,0.000142
15,3-draft,fast-car,102,77,0.000487
15,4-check,fast-car,124,63,0.00043900000000000005
16,1-classify,fast-car,83,7,0.000118
16,2-extract,fast-car,66,17,0.00015099999999999998
16,3-draft,fast-car,107,82,0.0005170000000000001
16,4-check,fast-car,133,5,0.00015800000000000002
17,1-classify,fast-car,84,7,0.00011899999999999999
17,2-extract,fast-car,67,19,0.000162
17,3-draft,fast-car,110,84,0.00053
17,4-check,fast-car,136,5,0.000161
18,1-classify,fast-car,79,7,0.000114
18,2-extract,fast-car,62,17,0.000147
18,3-draft,fast-car,103,74,0.00047300000000000006
18,4-check,fast-car,121,5,0.000146
19,1-classify,fast-car,82,7,0.000117
19,2-extract,fast-car,65,16,0.000145
19,3-draft,fast-car,105,87,0.00054
19,4-check,fast-car,137,5,0.000162
20,1-classify,fast-car,83,7,0.000118
20,2-extract,fast-car,66,16,0.000146
20,3-draft,fast-car,106,93,0.000571
20,4-check,fast-car,144,5,0.00016900000000000002
21,1-classify,fast-car,150,7,0.000185
21,2-extract,race-car,133,31,0.000864
21,3-draft,race-car,188,117,0.002319
21,4-check,race-car,235,5,0.00078
22,1-classify,fast-car,142,7,0.000177
22,2-extract,race-car,125,20,0.000675
22,3-draft,race-car,169,130,0.002457
22,4-check,race-car,240,5,0.000795
23,1-classify,fast-car,122,7,0.000157
23,2-extract,race-car,105,19,0.0006000000000000001
23,3-draft,race-car,148,299,0.004929
23,4-check,race-car,389,5,0.001242
24,1-classify,fast-car,104,7,0.000139
24,2-extract,race-car,87,19,0.000546
24,3-draft,race-car,130,309,0.005025
24,4-check,race-car,381,5,0.0012180000000000001
25,1-classify,fast-car,113,7,0.000148
25,2-extract,race-car,96,22,0.0006180000000000001
25,3-draft,race-car,142,289,0.0047610000000000005
25,4-check,race-car,370,5,0.001185
26,1-classify,fast-car,75,7,0.00010999999999999999
26,2-extract,fast-car,58,16,0.000138
26,3-draft,fast-car,98,65,0.00042300000000000004
26,4-check,fast-car,108,5,0.000133
27,1-classify,fast-car,73,7,0.000108
27,2-extract,fast-car,56,8,9.6e-05
27,3-draft,fast-car,88,75,0.000463
27,4-check,fast-car,116,5,0.000141
28,1-classify,fast-car,77,7,0.00011200000000000001
28,2-extract,fast-car,60,16,0.00014
28,3-draft,fast-car,100,80,0.0005
28,4-check,fast-car,125,5,0.00015000000000000001
29,1-classify,fast-car,70,7,0.000105
29,2-extract,race-car,53,16,0.00039900000000000005
29,3-draft,race-car,93,301,0.004794
29,4-check,race-car,339,55,0.001842
30,1-classify,fast-car,78,7,0.00011300000000000001
30,2-extract,fast-car,61,17,0.000146
30,3-draft,fast-car,102,83,0.0005170000000000001
30,4-check,fast-car,129,5,0.000154
31,1-classify,fast-car,75,7,0.00010999999999999999
31,2-extract,fast-car,58,8,9.8e-05
31,3-draft,fast-car,90,75,0.000465
31,4-check,fast-car,118,43,0.000333
32,1-classify,fast-car,78,7,0.00011300000000000001
32,2-extract,fast-car,61,20,0.000161
32,3-draft,fast-car,105,80,0.000505
32,4-check,fast-car,126,5,0.000151
33,1-classify,fast-car,75,7,0.00010999999999999999
33,2-extract,fast-car,58,18,0.00014800000000000002
33,3-draft,fast-car,100,82,0.00051
33,4-check,fast-car,125,5,0.00015000000000000001
34,1-classify,fast-car,87,7,0.00012200000000000001
34,2-extract,fast-car,70,17,0.000155
34,3-draft,fast-car,111,82,0.0005210000000000001
34,4-check,fast-car,137,5,0.000162
